YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
2023,40,64790,430,273,1.08504,0.663683,0.421361
2023,41,65360,590,280,1.33109,0.902693,0.428397
2023,42,66801,693,318,1.51345,1.03741,0.476041
2023,43,69229,862,393,1.81282,1.24514,0.567681
2023,44,77193,1456,566,2.61941,1.88618,0.733227
2023,45,92301,2582,1072,3.95879,2.79737,1.16142
2023,46,100657,3647,1250,4.86504,3.6232,1.24184
2023,47,95152,4333,1347,5.9694,4.55377,1.41563
2023,48,117707,6563,1703,7.02252,5.57571,1.44681
2023,49,145284,10163,2202,8.51092,6.99526,1.51565
2023,50,137785,15245,3331,13.4819,11.0643,2.41753
2023,51,154501,22244,4662,17.4148,14.3973,3.01746
2023,52,152599,22859,5001,18.2577,14.9798,3.27722
2024,1,137969,15372,3668,13.8031,11.1416,2.65857
2024,2,130403,14374,3708,13.867,11.0228,2.84349
2024,3,116068,13212,4085,14.9059,11.383,3.51949
2024,4,120481,14151,5283,16.1303,11.7454,4.38492
2024,5,123949,13522,6690,16.3067,10.9093,5.39738
2024,6,124097,12145,7526,15.8521,9.7867,6.06461
2024,7,120149,11039,7665,15.5673,9.18776,6.37958
2024,8,118107,10143,8185,15.5181,8.58798,6.93016
2024,9,109663,8944,7447,14.9467,8.1559,6.7908
2024,10,103198,7779,6902,14.2261,7.53794,6.68811
2024,11,97623,5797,5841,11.9214,5.93815,5.98322
2024,12,90178,4752,4595,10.3651,5.26958,5.09548
2024,13,85737,3972,3871,9.14774,4.63277,4.51497
2024,14,80849,3193,2907,7.54493,3.94934,3.59559
2024,15,77018,2352,2113,5.79735,3.05383,2.74351
2024,16,70912,1852,1541,4.7848,2.61169,2.17312
2024,17,69361,1485,1164,3.81915,2.14097,1.67818
2024,18,59137,1089,808,3.20781,1.84149,1.36632
2024,19,53004,802,448,2.35831,1.51309,0.845219
2024,20,50880,589,352,1.84945,1.15763,0.691824
2024,21,49252,532,284,1.65679,1.08016,0.576626
2024,22,40696,522,168,1.6955,1.28268,0.412817
2024,23,38838,461,136,1.53715,1.18698,0.350173
2024,24,29139,325,91,1.42764,1.11534,0.312296
